type	Four.12.12_clean	One.11.9_clean	Three.11.9_clean	Two.11.9_clean
aminoglycoside	0.46009975608175535	13.998699234016419	427.8486629329837	40.81384539977181
antibacterial_fatty_acid	0.0	0.0	0.030837172769185645	0.0
bacitracin	37.85764309485929	881.3780761687276	622.1296122460092	368.46662892587676
beta_lactam	9.685060040465308	946.0841753834635	491.6664495023233	178.49447738753847
bleomycin	1.6366127596438702	0.0	0.0	0.0
chloramphenicol	0.0	0.14424580689001304	0.309808757671455	0.0
defensin	0.0	0.0	0.12904259747310956	1.959820491940552
florfenicol	0.0	0.6585118566413999	0.03877545486818392	0.0
fosfomycin	0.14597957293238	59.71483818698387	1.6897163341266794	28.740637172583394
macrolide-lincosamide-streptogramin	6.70380183609777	771.0323087118996	534.853604431656	306.36364207751757
multidrug	128.72172659096688	6679.337901974854	4041.0766950561297	1243.5039716585725
mupirocin	0.03718720828087729	0.1322938997838622	0.311324519302998	0.05373285552951956
novobiocin	0.101299445328727	0.0	0.12972322517368237	0.0483595699765676
other_peptide_antibiotics	3.7620908722766044	615.661363694147	291.84849285469767	109.09007109329035
pleuromutilin_tiamulin	0.15882036869958008	0.9660086785879649	0.38679713004311866	0.22948407049065644
polymyxin	71.82240348651739	2416.193802284715	1203.1909777117994	372.76321905794276
quinolone	0.04742654327987461	2.023770461257669	0.3513610603657472	0.1279188625186627
rifamycin	0.0	0.0885143698706167	0.0	0.0
sulfonamide	0.0	2.6046099138085808	0.10385369014701246	1.4111220208880355
tetracycline	54.83415441433792	176.6370645509895	371.0540062631028	177.16484943652327
trimethoprim	16.341749646266614	2.1161541068541796	0.0	1.6321354867091564
vancomycin	0.0	1.3846519358316969	0.06811448119651693	0.387701719359269
