gene	Four.12.12_clean	One.11.9_clean	Three.11.9_clean	Two.11.9_clean
A1ABK4	0.0	2.020374387296229	0.3770637230507864	0.06507907119384918
A1ADA7	0.0	0.5453558085482966	0.3560291765169615	0.04506232656907436
A1AFX9	0.0	0.5159123272458802	0.11476398363916708	0.2178837768175024
A1AHP3	0.10528450017117943	2.601552784023343	2.323750533174644	0.22819285577178317
A7ZMC9	0.0	0.03424363368298693	0.0	0.0
A7ZTR5	0.0	1.040621113609337	1.121810602222242	0.07606428525726106
A7ZZ23	0.0	3.308940175163253	0.0	0.0
A8A0L0	0.0450396494167737	6.506290399767518	2.5708890208008164	0.8460279255200392
A8A4L2	0.0	4.872505312877757	6.025109141056272	1.089418884087512
AAA62061	0.0	3.001791673873088	4.407113080158807	0.45638571154356633
AAB05246	0.19326873036117917	0.0	0.29418373270885084	0.3258027366965939
AAC43174	0.08435704829289173	13.468694772771542	27.671054522408433	1.1985840140708712
AAC44147	0.20032233365903243	9.557139875606772	4.2307700683913385	0.3618143009195751
AAC60780	0.10967914627068695	4.155553141513663	2.6572550616772155	0.686740252153922
AAC60781	0.07530409676877652	15.057719180458111	7.718017855811594	1.2694387118848995
AAC73966	0.0	0.0	0.06446618834051977	0.0
AAC76696	0.10448284154043441	7.427478910950205	9.423026022129124	1.6606725425963442
AAG07763	0.0	0.0	0.01025886297756798	0.0
AAK17952	0.1288458202407861	0.0	0.19612248847256722	0.09308649619902683
AAK64454	0.0	0.04140037193948421	0.0	0.0
AAM11664	0.0	0.0	0.0	0.15612144638104503
AAM11666	0.0	0.0	0.0	0.07806072319052251
AAN80811	0.12107717519685635	5.2471318459301575	0.0	1.9244264170087049
AAO24820	0.0	0.0	3.3585976150927137	3.909632840359127
AAO42740	0.06442291012039306	0.0	0.024515311059070902	0.0
AAP43530	0.05020273117918434	4.12226532696952	2.9420167074133303	0.9430116145430683
AAQ75378	0.0	0.053963243424569075	0.0	0.0
AAQ92181	0.026187175297029998	1.2394038828524594	0.6028941907685441	0.30270875863194985
AAR14158	0.0	0.03992178722735978	0.0	0.0
AAR29485	0.03221145506019653	0.0	0.024515311059070902	0.046543248099513414
AAS45561	0.0	0.048980721731220755	0.09806124423628361	0.046543248099513414
AAS61092	0.03655971542356232	1.6955768671059095	1.9338138930530522	0.2905439528343516
AAS89471	0.0	0.0	0.0745965893654586	0.0
AAT02170	0.0	0.0486004366246119	0.0	0.0
AAV80411	0.03221145506019653	0.0	0.0	0.0
AAW30456	0.0	0.0	0.0	0.11944231138790794
AAW82909	0.0	0.04151018724966852	0.0	0.0
AAX35723	0.0	0.0	0.04711363538871069	0.0
AAY21388	0.0	0.12226047338378931	0.0	0.7745087379059655
AAY43141	0.0	0.09967732861863078	0.0	0.0
AAY63943	0.16105727530098263	0.0	0.34321435482699264	0.7446919695922146
AAY67968	0.0	0.09124979937682234	0.0	0.0
AAY67970	0.0	0.06726077618821646	0.0	0.08521815339710337
AAZ85968	0.054597134704152735	4.19252891221652	4.778534836010146	0.7888895367530259
AB084246.gene.p01	0.10265895153848167	0.23415472209164634	6.602077198454177	0.0
AB280919.1.gene1.p01	0.0	0.04107438475885835	0.0	0.0
AB300358.1.gene1.p01	0.0	0.04107438475885835	0.0	0.0
AB733453.1.gene1.p01	0.0	0.0	0.0	0.210930039259497
AB737978.1.gene1.p01	0.0	0.041182475245065873	0.0	0.0
ABB18304	3.0278767756584735	0.07347108259683113	10.32094595586885	10.332601078091978
ABB70047	0.2254801854213757	0.0	0.09806124423628361	0.3258027366965939
ABB70049	0.06442291012039306	0.0	0.6128827764767726	0.3723459847961073
ABB70053	0.8374978315651097	0.0	0.024515311059070902	0.18617299239805365
ABB70054	0.06442291012039306	0.0	0.39224497694513444	0.0
ABB70056	0.28990309554176874	0.048980721731220755	9.266787580328801	9.448279364201223
ABC36050	0.0	0.0	0.004921546894987843	0.0
ABD46539	3.414414236380832	0.07347108259683113	3.0889291934429335	2.234075908776644
ABG36700	0.0	0.09689994175309617	0.04849933054720218	0.0
ABG69871	0.873223263540964	45.80988791805691	2.183645615970697	2.883988900420759
ABG71110	0.0	0.06348616873478714	0.01059180782065335	0.0
ABG71850	0.155932725632315	3.161482948106067	3.2833801834342	0.7510387761512393
ABG77965	0.0	0.07883798787468528	0.0	0.0
ABI81214	0.32211455060196525	0.0	0.7354593317721271	0.3723459847961073
ABM94007	0.0	0.0	0.05496590795349581	0.0
ABN11268	0.09663436518058958	0.0	0.31869904376792174	0.6981487214927012
ABP89888	1.6619910384164753	0.0486004366246119	5.254194555306214	7.527647658852516
ABR13270	0.0	0.6832625615806058	0.026306102043234768	0.09988626544278445
ABS58643	0.0	0.04151018724966852	0.0	0.0
ABW24731	0.4509603708427514	0.048980721731220755	35.37559385823931	35.23323881133165
ABW39616	0.0	0.03902578701527439	0.6250487288477328	0.0
ABY77969	0.0	0.0	1.0938352754835323	0.0
ACA35067	0.0	0.0	0.0578054751540454	0.0
ACA42497	0.0	0.024224985438274043	0.0	0.1381167284934477
ACB16010	0.07623377697579843	10.374933208034742	2.6108806277910506	1.7624376613682413
ACB17069	0.0	0.29022691192716016	0.03822665633661861	0.04354485437128708
ACB17398	0.0	0.015208299896137055	0.015223793748052772	0.0
ACB17400	0.10040546235836868	16.26004656749089	4.5467530932751465	2.538877423769799
ACB17731	0.05032547624319213	3.8134904949831983	1.685262801312561	0.7271671280095128
ACB17801	0.0	0.8778898381509165	0.15283203674874443	0.2176180648945542
ACB17952	0.0	0.013549212634740284	0.013563016248265199	0.0
ACB18310	0.03969743449077257	3.5312880412644723	3.1370851130449853	0.6883194338034115
ACB18769	0.0	0.5163488012960036	0.07951920693779851	0.0
ACB19549	0.0	0.040250361607831874	0.0	0.0
ACC85616	0.0	0.11098823115691513	0.0	0.0
ACF08831	0.19326873036117917	0.024490360865610378	0.049030622118141805	0.046543248099513414
ACH85850	0.0	0.0	0.22539976642800438	0.0
ACH85966	0.9341321967456994	0.024490360865610378	0.9070665091856234	0.8377784657912415
ACI75321	0.2632112504279486	24.894858948654143	26.122161166032207	4.33566425966388
